dataset,folder,image_path,mask_iou,hsv_processing_ms,lab_processing_ms,hsv_area_ratio,hsv_border_contact_ratio,hsv_centre_coverage,hsv_solidity,hsv_proxy_score,hsv_proxy_valid,lab_area_ratio,lab_border_contact_ratio,lab_centre_coverage,lab_solidity,lab_proxy_score,lab_proxy_valid,hsv_mean_hue_drift,hsv_mean_saturation_drift,hsv_lightness_contrast,hsv_contrast_gain,hsv_clipped_lightness_ratio,lab_mean_hue_drift,lab_mean_saturation_drift,lab_lightness_contrast,lab_contrast_gain,lab_clipped_lightness_ratio
primary,freshbanana,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshbanana\vertical_flip_Screen Shot 2018-06-12 at 9.59.48 PM.png,0.9949965766050456,1.8945999909192324,1.96460000006482,0.3636782786885246,0.008503401360544218,0.7764088114754099,0.7860983909591228,0.9016712309813457,1.0,0.3640176741803279,0.008503401360544218,0.7784579918032787,0.7848591942783707,0.9016172487614397,1.0,0.016864945248073544,0.23654585040983606,32.2048413966973,5.055127702685947,0.5886782786885246,0.2509463295930783,3.169287909836066,32.92477698496502,5.775063290953671,0.5880186987704918
primary,freshoranges,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshoranges\rotated_by_15_Screen Shot 2018-06-12 at 11.50.41 PM.png,0.9951666976180469,3.036300011444837,3.049999999348074,0.5417876059322034,0.11034201954397393,0.9722339527027027,0.831703428115865,0.8111553129572269,1.0,0.539396186440678,0.0993485342019544,0.9720122466216217,0.8319473056155174,0.8154299309801442,1.0,0.01239088639963899,0.3897351694915254,76.0183767146068,0.4493167105326563,0.40445709745762715,0.23927666555418192,5.5748199152542375,76.3732314260665,0.8041714219923506,0.4023093220338983
primary,freshoranges,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshoranges\rotated_by_15_Screen Shot 2018-06-13 at 12.13.44 AM.png,0.9974651746107639,4.5523000007960945,4.872399993473664,0.650390625,0.0,1.0,0.9676474496688888,0.8023718194792324,1.0,0.6510087025316456,0.0,1.0,0.9681241387706764,0.8020738352339971,1.0,0.004699661144988541,0.4289037776898734,68.96525643098784,0.3807794255397283,0.2934014042721519,0.20737345599424709,5.271229727056962,68.57045893960662,-0.014018065841483462,0.29106507120253167
primary,freshoranges,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshoranges\rotated_by_30_Screen Shot 2018-06-13 at 12.02.45 AM.png,0.9943565700574604,2.282300003571436,2.8572000155691057,0.6736717419080068,0.19510204081632654,1.0,0.8757276150227393,0.7203970861317347,1.0,0.6714996805792164,0.1820408163265306,1.0,0.8750969838671151,0.7249184868686527,1.0,0.008742008104457452,0.4848301746166951,73.16690356889889,-0.37873216852791813,0.23203790459965928,0.2330625844214318,6.1750558986371376,72.27056854088507,-1.275067196541741,0.22921901618398638
primary,freshoranges,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshoranges\rotated_by_45_Screen Shot 2018-06-12 at 11.52.40 PM.png,0.9978397425398076,3.0112000240478665,2.7922999870497733,0.6342316771582733,0.08961474036850921,1.0,0.9709202120077235,0.7909056536632434,1.0,0.6340630620503597,0.08919597989949749,1.0,0.9710374154069541,0.7911410849835603,1.0,0.007289544154737339,0.4267816996402878,79.83169473712628,-0.8581392476421854,0.2805361960431655,0.2587290668950868,6.508427945143885,78.68800580111294,-2.001828183655533,0.2779282823741007
primary,freshoranges,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshoranges\rotated_by_45_Screen Shot 2018-06-13 at 12.14.09 AM.png,0.9979287910747414,2.4688999983482063,3.0793999903835356,0.6137760416666667,0.0,1.0,0.9935752382321965,0.8308575665858332,1.0,0.6146067708333334,0.0,1.0,0.9933783504153312,0.8302895431891268,1.0,0.05410142978994087,0.5976901041666667,69.71430424888584,-0.6865971374417796,0.1637890625,0.26721458414653537,3.0514322916666665,70.0570809609596,-0.3438204253680226,0.16224739583333334
primary,freshoranges,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshoranges\rotated_by_60_Screen Shot 2018-06-12 at 11.59.48 PM.png,0.9945397883625442,2.2929999977350235,3.2844000088516623,0.5841914763458401,0.0,1.0,0.976193885817002,0.8462078376705932,1.0,0.5871227569331158,0.0,1.0,0.9774315536647376,0.8445900108664194,1.0,0.006501137895659488,0.36931331566068515,77.24340688319464,-0.6362557441565855,0.3163794861337684,0.17178097375568457,3.828028140293638,76.5499197854064,-1.329742841944821,0.31425876835236544
primary,freshoranges,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshoranges\rotated_by_75_Screen Shot 2018-06-12 at 11.50.41 PM.png,0.9959234900373599,2.2892999986652285,2.7531000087037683,0.5442346398305085,0.050895765472312705,0.9677681587837837,0.8562567427440219,0.8284771772271594,1.0,0.5423596398305085,0.0500814332247557,0.967409206081081,0.8562116507997234,0.8297931331778302,1.0,0.012762577966440179,0.39850900423728813,77.20147054108891,0.20183727451269817,0.39508474576271185,0.23004686113962206,5.2778760593220335,77.36077477067701,0.36114150410080015,0.3920948093220339
primary,freshoranges,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshoranges\rotated_by_75_Screen Shot 2018-06-13 at 12.08.48 AM.png,0.9941931494991962,3.0266999965533614,3.3752000017557293,0.5911633895131087,0.08319112627986348,1.0,0.9363069033236846,0.8129959875864292,1.0,0.5885416666666666,0.08319112627986348,1.0,0.9363133845200949,0.8146656529098107,1.0,0.009833423391529561,0.45106507490636705,79.60350272418465,0.11231129693047137,0.3332075140449438,0.2498416217928413,6.578180594569289,79.2077406906691,-0.28345073658508113,0.3318615402621723
primary,freshoranges,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshoranges\saltandpepper_Screen Shot 2018-06-12 at 11.55.48 PM.png,0.9972947082719839,2.987599989864975,3.8506999844685197,0.6022848886986302,0.10065466448445172,0.9973779965753424,0.9303421791331518,0.7998354398487304,1.0,0.6026541095890411,0.10024549918166939,0.9973137842465754,0.9303568207312244,0.7996928582798438,1.0,0.008359833318313099,0.4116331335616438,41.76839157904807,4.236228712067181,0.3298747859589041,0.23837111995159194,6.7079462756849315,43.94723115685254,6.415068289871648,0.3286734803082192
